,T,Training Error,Training Error %,Testing Error,Testing Error %
344,344,4319,86.38,4308,86.16
345,345,645,12.9,665,13.3
346,346,3442,68.84,3476,69.52000000000001
347,347,1479,29.580000000000002,1460,29.2
348,348,3094,61.88,3091,61.82
349,349,1876,37.519999999999996,1886,37.72
350,350,3194,63.88,3180,63.6
351,351,4319,86.38,4308,86.16
352,352,596,11.92,624,12.479999999999999
353,353,3592,71.84,3620,72.39999999999999
354,354,1903,38.06,1920,38.4
355,355,3246,64.92,3215,64.3
356,356,2379,47.58,2372,47.44
357,357,2591,51.82,2605,52.1
358,358,2018,40.36,2104,42.08
359,359,4251,85.02,4232,84.64
360,360,596,11.92,624,12.479999999999999
361,361,2600,52.0,2605,52.1
362,362,2733,54.66,2717,54.339999999999996
363,363,3234,64.68,3239,64.78
364,364,1736,34.72,1738,34.760000000000005
365,365,2606,52.12,2638,52.76
366,366,2364,47.28,2339,46.78
367,367,2606,52.12,2638,52.76
368,368,2364,47.28,2339,46.78
369,369,2606,52.12,2638,52.76
370,370,2364,47.28,2339,46.78
371,371,2606,52.12,2638,52.76
372,372,4319,86.38,4308,86.16
373,373,3686,73.72,3692,73.83999999999999
374,374,596,11.92,624,12.479999999999999
375,375,3570,71.39999999999999,3613,72.26
376,376,2027,40.54,1978,39.56
377,377,3071,61.419999999999995,3136,62.72
378,378,726,14.52,772,15.440000000000001
379,379,4374,87.48,4353,87.06
380,380,1251,25.019999999999996,1234,24.68
381,381,3542,70.84,3565,71.3
382,382,1557,31.14,1542,30.84
383,383,3413,68.26,3435,68.7
384,384,4319,86.38,4308,86.16
385,385,596,11.92,624,12.479999999999999
386,386,4244,84.88,4236,84.72
387,387,1687,33.739999999999995,1659,33.18
388,388,3283,65.66,3318,66.36
389,389,1558,31.16,1529,30.580000000000002
390,390,3412,68.24,3448,68.96
391,391,4319,86.38,4308,86.16
392,392,596,11.92,624,12.479999999999999
393,393,4374,87.48,4353,87.06
394,394,3875,77.5,3859,77.18
395,395,596,11.92,624,12.479999999999999
396,396,3844,76.88000000000001,3788,75.76
397,397,2088,41.760000000000005,2094,41.88
398,398,2931,58.620000000000005,2924,58.48
399,399,4319,86.38,4308,86.16
400,400,596,11.92,624,12.479999999999999
401,401,3955,79.10000000000001,3965,79.3
402,402,1675,33.5,1694,33.879999999999995
403,403,3295,65.9,3283,65.66
404,404,1804,36.08,1824,36.480000000000004
405,405,3166,63.32,3153,63.06
406,406,726,14.52,772,15.440000000000001
407,407,4374,87.48,4353,87.06
408,408,4319,86.38,4308,86.16
409,409,596,11.92,624,12.479999999999999
410,410,4274,85.48,4264,85.28
411,411,1589,31.78,1550,31.0
412,412,4319,86.38,4308,86.16
413,413,839,16.78,858,17.16
414,414,4374,87.48,4353,87.06
415,415,2247,44.940000000000005,2226,44.519999999999996
416,416,3433,68.66,3407,68.14
417,417,2320,46.400000000000006,2458,49.16
418,418,920,18.4,956,19.12
419,419,1771,35.42,1748,34.96
420,420,2754,55.08,2749,54.98
421,421,3955,79.10000000000001,3965,79.3
422,422,4319,86.38,4308,86.16
423,423,2071,41.42,2038,40.760000000000005
424,424,778,15.559999999999999,804,16.08
425,425,3875,77.5,3859,77.18
426,426,1325,26.5,1383,27.66
427,427,596,11.92,624,12.479999999999999
428,428,4319,86.38,4308,86.16
429,429,594,11.88,614,12.280000000000001
430,430,4374,87.48,4353,87.06
431,431,726,14.52,772,15.440000000000001
432,432,4374,87.48,4353,87.06
433,433,3686,73.72,3692,73.83999999999999
434,434,596,11.92,624,12.479999999999999
435,435,1047,20.94,1052,21.04
436,436,4374,87.48,4353,87.06
437,437,4319,86.38,4308,86.16
438,438,596,11.92,624,12.479999999999999
439,439,4319,86.38,4308,86.16
440,440,766,15.32,797,15.939999999999998
441,441,2904,58.08,2964,59.28
442,442,3099,61.980000000000004,3072,61.44
443,443,3875,77.5,3859,77.18
444,444,726,14.52,772,15.440000000000001
445,445,4374,87.48,4353,87.06
446,446,920,18.4,956,19.12
447,447,2694,53.879999999999995,2705,54.1
448,448,4251,85.02,4232,84.64
449,449,855,17.1,871,17.419999999999998
450,450,4319,86.38,4308,86.16
451,451,2209,44.18,2168,43.36
452,452,1713,34.260000000000005,1672,33.44
453,453,4319,86.38,4308,86.16
454,454,824,16.48,850,17.0
455,455,2612,52.239999999999995,2609,52.18000000000001
456,456,2470,49.4,2461,49.220000000000006
457,457,2500,50.0,2516,50.32
458,458,2470,49.4,2461,49.220000000000006
459,459,2500,50.0,2516,50.32
460,460,4319,86.38,4308,86.16
461,461,596,11.92,624,12.479999999999999
462,462,3589,71.78,3626,72.52
463,463,2197,43.94,2165,43.3
