,T,Training Error,Training Error %,Testing Error,Testing Error %
326,326,514,10.280000000000001,536,10.72
327,327,514,10.280000000000001,536,10.72
328,328,514,10.280000000000001,536,10.72
329,329,514,10.280000000000001,536,10.72
330,330,514,10.280000000000001,536,10.72
331,331,514,10.280000000000001,536,10.72
332,332,514,10.280000000000001,536,10.72
333,333,514,10.280000000000001,536,10.72
334,334,514,10.280000000000001,536,10.72
335,335,514,10.280000000000001,538,10.76
336,336,514,10.280000000000001,537,10.74
337,337,514,10.280000000000001,537,10.74
338,338,514,10.280000000000001,537,10.74
339,339,514,10.280000000000001,537,10.74
340,340,514,10.280000000000001,537,10.74
341,341,514,10.280000000000001,537,10.74
342,342,514,10.280000000000001,537,10.74
343,343,514,10.280000000000001,537,10.74
344,344,514,10.280000000000001,537,10.74
345,345,514,10.280000000000001,537,10.74
346,346,514,10.280000000000001,537,10.74
347,347,514,10.280000000000001,537,10.74
348,348,514,10.280000000000001,537,10.74
349,349,514,10.280000000000001,537,10.74
350,350,514,10.280000000000001,537,10.74
351,351,514,10.280000000000001,537,10.74
352,352,514,10.280000000000001,537,10.74
353,353,514,10.280000000000001,537,10.74
354,354,514,10.280000000000001,537,10.74
355,355,514,10.280000000000001,537,10.74
356,356,514,10.280000000000001,537,10.74
357,357,514,10.280000000000001,537,10.74
358,358,514,10.280000000000001,537,10.74
359,359,514,10.280000000000001,537,10.74
360,360,514,10.280000000000001,537,10.74
361,361,514,10.280000000000001,537,10.74
362,362,514,10.280000000000001,537,10.74
363,363,514,10.280000000000001,537,10.74
364,364,514,10.280000000000001,537,10.74
365,365,514,10.280000000000001,537,10.74
366,366,514,10.280000000000001,537,10.74
367,367,514,10.280000000000001,537,10.74
368,368,514,10.280000000000001,537,10.74
369,369,514,10.280000000000001,537,10.74
370,370,514,10.280000000000001,537,10.74
371,371,514,10.280000000000001,537,10.74
372,372,514,10.280000000000001,537,10.74
373,373,514,10.280000000000001,537,10.74
374,374,514,10.280000000000001,537,10.74
375,375,514,10.280000000000001,537,10.74
376,376,514,10.280000000000001,537,10.74
377,377,514,10.280000000000001,537,10.74
378,378,514,10.280000000000001,537,10.74
379,379,514,10.280000000000001,537,10.74
380,380,514,10.280000000000001,537,10.74
381,381,514,10.280000000000001,537,10.74
382,382,514,10.280000000000001,537,10.74
383,383,514,10.280000000000001,537,10.74
384,384,514,10.280000000000001,537,10.74
385,385,514,10.280000000000001,537,10.74
386,386,514,10.280000000000001,537,10.74
387,387,514,10.280000000000001,537,10.74
388,388,514,10.280000000000001,537,10.74
389,389,514,10.280000000000001,537,10.74
390,390,514,10.280000000000001,537,10.74
391,391,514,10.280000000000001,537,10.74
392,392,514,10.280000000000001,537,10.74
393,393,514,10.280000000000001,537,10.74
394,394,514,10.280000000000001,537,10.74
395,395,514,10.280000000000001,537,10.74
396,396,514,10.280000000000001,537,10.74
397,397,514,10.280000000000001,537,10.74
398,398,514,10.280000000000001,537,10.74
399,399,514,10.280000000000001,537,10.74
400,400,514,10.280000000000001,537,10.74
401,401,514,10.280000000000001,537,10.74
402,402,514,10.280000000000001,537,10.74
403,403,514,10.280000000000001,537,10.74
404,404,514,10.280000000000001,537,10.74
405,405,514,10.280000000000001,537,10.74
406,406,514,10.280000000000001,537,10.74
407,407,514,10.280000000000001,537,10.74
408,408,514,10.280000000000001,537,10.74
409,409,514,10.280000000000001,537,10.74
410,410,514,10.280000000000001,537,10.74
411,411,514,10.280000000000001,537,10.74
412,412,514,10.280000000000001,537,10.74
413,413,514,10.280000000000001,537,10.74
