,T,Training Error,Training Error %,Testing Error,Testing Error %
438,438,265,5.3,569,11.379999999999999
439,439,268,5.36,571,11.42
440,440,267,5.34,570,11.4
441,441,268,5.36,572,11.44
442,442,266,5.319999999999999,570,11.4
443,443,267,5.34,571,11.42
444,444,265,5.3,570,11.4
445,445,267,5.34,571,11.42
446,446,266,5.319999999999999,571,11.42
447,447,266,5.319999999999999,572,11.44
448,448,266,5.319999999999999,572,11.44
449,449,267,5.34,572,11.44
450,450,266,5.319999999999999,571,11.42
451,451,267,5.34,571,11.42
452,452,266,5.319999999999999,571,11.42
453,453,267,5.34,571,11.42
454,454,266,5.319999999999999,571,11.42
455,455,267,5.34,571,11.42
456,456,266,5.319999999999999,571,11.42
457,457,267,5.34,571,11.42
458,458,265,5.3,570,11.4
459,459,267,5.34,571,11.42
460,460,266,5.319999999999999,570,11.4
461,461,267,5.34,571,11.42
462,462,267,5.34,571,11.42
463,463,268,5.36,572,11.44
464,464,267,5.34,571,11.42
465,465,269,5.38,571,11.42
466,466,268,5.36,571,11.42
467,467,268,5.36,571,11.42
468,468,268,5.36,570,11.4
469,469,268,5.36,571,11.42
470,470,267,5.34,570,11.4
471,471,268,5.36,571,11.42
472,472,266,5.319999999999999,570,11.4
473,473,266,5.319999999999999,571,11.42
474,474,265,5.3,570,11.4
475,475,266,5.319999999999999,570,11.4
476,476,264,5.28,570,11.4
477,477,265,5.3,570,11.4
478,478,265,5.3,570,11.4
479,479,267,5.34,570,11.4
480,480,266,5.319999999999999,570,11.4
481,481,267,5.34,571,11.42
482,482,264,5.28,570,11.4
483,483,264,5.28,571,11.42
484,484,264,5.28,569,11.379999999999999
485,485,265,5.3,571,11.42
486,486,264,5.28,570,11.4
487,487,266,5.319999999999999,571,11.42
488,488,265,5.3,569,11.379999999999999
489,489,268,5.36,570,11.4
490,490,265,5.3,569,11.379999999999999
491,491,268,5.36,569,11.379999999999999
492,492,266,5.319999999999999,568,11.360000000000001
493,493,268,5.36,568,11.360000000000001
494,494,267,5.34,568,11.360000000000001
495,495,269,5.38,569,11.379999999999999
496,496,268,5.36,568,11.360000000000001
497,497,268,5.36,569,11.379999999999999
498,498,267,5.34,568,11.360000000000001
499,499,267,5.34,568,11.360000000000001
