,Iterations,Cost
921,921,15.91366101
922,922,15.94000494
923,923,15.80842175
924,924,15.73083114
925,925,15.75169147
926,926,15.75511678
927,927,15.75655822
928,928,15.72008321
929,929,15.72087461
930,930,15.72446241
931,931,15.56953985
932,932,15.59459008
933,933,15.5881045
934,934,15.58155632
935,935,15.57536808
936,936,15.61502323
937,937,15.62821823
938,938,15.63366441
939,939,15.66934774
940,940,15.68697386
941,941,15.67821818
942,942,15.6170886
943,943,15.63296861
944,944,15.63566649
945,945,15.73858709
946,946,15.77948453
947,947,15.78521861
948,948,15.78061216
949,949,15.78170037
950,950,15.77170202
951,951,15.74129753
952,952,15.64866337
953,953,15.6422642
954,954,15.58192917
955,955,15.55420964
956,956,15.55205727
957,957,15.53270256
958,958,15.55433299
959,959,15.56568039
960,960,15.64797734
961,961,15.66660149
962,962,15.65017986
963,963,15.60164761
964,964,15.59811517
965,965,15.64756099
966,966,15.62774287
967,967,15.72085422
968,968,15.71660644
969,969,15.7042481
970,970,15.74994473
971,971,15.72074933
972,972,15.72718863
973,973,15.72050654
974,974,15.73616065
975,975,15.69403333
976,976,15.69728651
977,977,15.71488678
978,978,15.66358346
979,979,15.66026266
980,980,15.64157293
981,981,15.67443707
982,982,15.67247544
983,983,15.6624263
984,984,15.71935024
985,985,15.70093058
986,986,15.65513366
987,987,15.65574631
988,988,15.67314967
989,989,15.64988051
990,990,15.63057048
991,991,15.63004186
992,992,15.64117927
993,993,15.64816912
994,994,15.68166292
995,995,15.73309104
996,996,15.8082022
997,997,15.80369588
998,998,15.78344111
999,999,15.7525649
1000,1000,15.75209965
1001,1001,15.80450471
1002,1002,15.79577311
1003,1003,15.83900807
1004,1004,15.83778222
1005,1005,15.83770159
1006,1006,15.65363509
1007,1007,15.56649341
1008,1008,15.56189105
1009,1009,15.53917797
1010,1010,15.52806327
1011,1011,15.53755429
1012,1012,15.53288208
1013,1013,15.53881405
1014,1014,15.54070615
1015,1015,15.51595448
1016,1016,15.5159349
1017,1017,15.51695441
1018,1018,15.52380343
1019,1019,15.51070016
1020,1020,15.5094621
1021,1021,15.51044891
1022,1022,15.51408765
1023,1023,15.51422425
1024,1024,15.51821107
1025,1025,15.54793476
1026,1026,15.53677698
1027,1027,15.53642179
1028,1028,15.50578756
1029,1029,15.50642827
1030,1030,15.49017504
1031,1031,15.49007369
1032,1032,15.52929724
1033,1033,15.5271803
1034,1034,15.52958481
1035,1035,15.53273707
1036,1036,15.54402248
1037,1037,15.5381489
1038,1038,15.53509601
1039,1039,15.53540408
1040,1040,15.51922737
1041,1041,15.52368764
1042,1042,15.52706803
1043,1043,15.53723602
1044,1044,15.56532225
1045,1045,15.58672536
